,Name,Position,Age,Overall_Rating,Potential,Duration,Team,Value € M,Wage € K,Total_Stats,photo_link
1390,Abdülkadir Ömür,CAM,23,75,80,2015 ~ 2027,Trabzonspor,8.5,31,1945,https://cdn.sofifa.net/players/231/777/23_180.png
1391,Yusuf Yaz?c?,RW,25,74,77,"May 31, 2023",Trabzonspor,5.5,28,1938,https://cdn.sofifa.net/players/231/887/23_180.png
1392,Amine Harit,CF,25,76,79,2022 ~ 2027,Olympique de Marseille,10,37,1803,https://cdn.sofifa.net/players/232/097/23_180.png
1393,Konstantinos Tsimikas,LB,26,77,78,2020 ~ 2025,Liverpool,11.5,80,2022,https://cdn.sofifa.net/players/232/223/23_180.png
1394,Santiago Ascacíbar,CM,25,74,78,"Jun 30, 2023",Estudiantes,5.5,22,1837,https://cdn.sofifa.net/players/232/244/23_180.png
1395,Danilho Doekhi,CB,24,76,80,2022 ~ 2022,FC Union Berlin,9.5,23,1754,https://cdn.sofifa.net/players/232/658/23_180.png
1396,Jens Stage,RM,25,72,74,2022 ~ 2024,Werder Bremen,2.9,17,2012,https://cdn.sofifa.net/players/232/711/23_180.png
1397,Bernardo Fernandes,LB,27,71,73,2021 ~ 2024,Salzburg,2,16,1898,https://cdn.sofifa.net/players/232/805/23_180.png
1398,Matt Smith,CM,22,64,73,2022 ~ 2025,Milton Keynes Dons,1.3,3,1787,https://cdn.sofifa.net/players/233/050/23_180.png
1399,Rasmus Kristensen,RWB,24,76,81,2022 ~ 2027,Leeds United,10.5,29,2017,https://cdn.sofifa.net/players/233/301/23_180.png
1400,Dean Henderson,GK,25,79,82,"Jun 30, 2023",Nottingham Forest,18,76,1298,https://cdn.sofifa.net/players/233/306/23_180.png
1401,Robert Gumny,RM,24,72,76,2020 ~ 2025,FC Augsburg,3.1,15,1753,https://cdn.sofifa.net/players/233/409/23_180.png
1402,Alessio Castro-Montes,RM,25,74,76,2019 ~ 2024,Gent,5.5,19,2030,https://cdn.sofifa.net/players/233/965/23_180.png
1403,Henry Onyekuru,ST,25,74,76,2021 ~ 2025,Adana Demirspor,5.5,20,1837,https://cdn.sofifa.net/players/234/045/23_180.png
1404,Bakery Jatta,LW,24,71,73,2016 ~ 2024,Hamburger SV,2.4,10,1805,https://cdn.sofifa.net/players/234/640/23_180.png
1405,Jordan Lotomba,LB,23,75,79,2020 ~ 2025,Nice,7.5,28,1865,https://cdn.sofifa.net/players/234/686/23_180.png
1406,Zack Steffen,GK,27,76,76,"Jun 30, 2023",Middlesbrough,6,68,1314,https://cdn.sofifa.net/players/234/777/23_180.png
1407,Lucas Robertone,CDM,25,77,80,2020 ~ 2028,Almería,14,26,2199,https://cdn.sofifa.net/players/235/008/23_180.png
1408,Omar Richards,LWB,24,72,77,2022 ~ 2026,Nottingham Forest,3.3,30,1758,https://cdn.sofifa.net/players/235/026/23_180.png
1409,Josh Maja,CAM,23,72,78,2019 ~ 2023,Bordeaux,3.7,7,1740,https://cdn.sofifa.net/players/235/161/23_180.png
1410,Christian Früchtl,GK,22,67,74,2022 ~ 2025,Austria Wien,1.8,4,943,https://cdn.sofifa.net/players/235/266/23_180.png
1411,Ismaïla Sarr,RW,24,76,79,2019 ~ 2024,Watford,10,36,1832,https://cdn.sofifa.net/players/235/353/23_180.png
1412,Manuel Lazzari,RB,28,79,79,2019 ~ 2027,Lazio,16,51,2031,https://cdn.sofifa.net/players/235/374/23_180.png
1413,Dennis Geiger,CM,24,75,80,2016 ~ 2027,TSG Hoffenheim,8,24,1862,https://cdn.sofifa.net/players/235/526/23_180.png
1414,Lucas Veríssimo da Silva,CB,26,76,79,2021 ~ 2026,Benfica,8.5,12,1743,https://cdn.sofifa.net/players/235/688/23_180.png
1415,R?zvan Marin,CM,26,76,78,"Jun 30, 2023",Empoli,9,6,2107,https://cdn.sofifa.net/players/235/813/23_180.png
1416,Joel Asoro,ST,23,70,76,2021 ~ 2024,Djurgården,2.5,5,1722,https://cdn.sofifa.net/players/235/855/23_180.png
1417,Yan Valery,CB,23,70,77,2022 ~ 2026,Angers SCO,3,10,1805,https://cdn.sofifa.net/players/236/316/23_180.png
1418,Aymen Barkok,CM,24,71,77,2022 ~ 2025,FSV Mainz 05,3,15,1881,https://cdn.sofifa.net/players/236/624/23_180.png
1419,Óscar Melendo Jiménez,RM,24,76,79,2022 ~ 2023,Granada,10,11,1909,https://cdn.sofifa.net/players/236/679/23_180.png
1420,Fodé Ballo-Touré,LM,25,72,75,2021 ~ 2025,Milan,2.9,32,1881,https://cdn.sofifa.net/players/236/723/23_180.png
1421,Tomáš Sou?ek,CM,27,79,80,2020 ~ 2024,West Ham United,18,66,2042,https://cdn.sofifa.net/players/236/792/23_180.png
1422,Jordan Torunarigha,LB,24,73,77,2022 ~ 2025,Gent,3.9,14,1765,https://cdn.sofifa.net/players/236/947/23_180.png
1423,Sean Longstaff,CM,24,77,81,2015 ~ 2025,Newcastle United,15,66,1980,https://cdn.sofifa.net/players/237/161/23_180.png
1424,Jordan Davies,CM,23,63,68,2020 ~ 2025,Wrexham,0.725,500,1799,https://cdn.sofifa.net/players/237/185/23_180.png
1425,Marcus Tavernier,CAM,23,73,77,2022 ~ 2027,AFC Bournemouth,4.4,31,1894,https://cdn.sofifa.net/players/237/477/23_180.png
1426,Djordje Mihailovic,CF,23,76,81,2023 ~ 2027,AZ Alkmaar,11.5,10,1974,https://cdn.sofifa.net/players/237/496/23_180.png
1427,Mady Camara,CDM,25,75,77,2018 ~ 2024,Roma,7,47,2098,https://cdn.sofifa.net/players/237/520/23_180.png
1428,Sory Kaba,ST,27,69,69,"Jun 30, 2023",Cardiff City,1.5,14,1704,https://cdn.sofifa.net/players/237/524/23_180.png
1429,Alessio Zerbin,LW,23,72,78,2017 ~ 2027,Napoli,3.7,31,1752,https://cdn.sofifa.net/players/237/669/23_180.png
1430,Paxton Pomykal,LM,22,69,77,2016 ~ 2023,Dallas,3.1,4,1885,https://cdn.sofifa.net/players/238/049/23_180.png
1431,Hugo Vetlesen,CM,22,71,79,2020 ~ 2025,Bodø / Glimt,4.2,4,1930,https://cdn.sofifa.net/players/238/235/23_180.png
1432,Marlon Fossey,RM,23,68,73,2022 ~ 2025,Standard Liège,1.7,5,1741,https://cdn.sofifa.net/players/238/409/23_180.png
1433,Ruben Vargas,RM,23,74,80,2019 ~ 2025,FC Augsburg,6.5,21,1940,https://cdn.sofifa.net/players/238/581/23_180.png
1434,Pedro Lomba Neto,ST,22,77,82,2019 ~ 2027,Wolverhampton Wanderers,16,68,1835,https://cdn.sofifa.net/players/238/616/23_180.png
1435,Rodrigo Nascimento França,CB,26,76,79,2019 ~ 2024,Udinese,8.5,16,1567,https://cdn.sofifa.net/players/238/621/23_180.png
1436,Christopher Antwi-Adjei,RM,28,71,71,2021 ~ 2024,VfL Bochum 1848,1.9,16,1640,https://cdn.sofifa.net/players/239/073/23_180.png
1437,Ron Schallenberg,CM,23,72,77,2017 ~ 2024,Paderborn,3.2,12,1762,https://cdn.sofifa.net/players/239/099/23_180.png
1438,Woo Yeong Jeong,CF,22,73,77,2019 ~ 2025,SC Freiburg,4.4,19,1757,https://cdn.sofifa.net/players/239/138/23_180.png
1439,Julian Chabot,CB,24,73,78,"Jun 30, 2023",FC Köln,4.2,13,1433,https://cdn.sofifa.net/players/239/340/23_180.png
1440,Sebastian Schonlau,CB,27,72,73,2021 ~ 2024,Hamburger SV,2.4,10,1695,https://cdn.sofifa.net/players/214/948/23_180.png
1441,Lucas Alario,ST,29,76,76,2022 ~ 2025,Eintracht Frankfurt,7.5,30,1810,https://cdn.sofifa.net/players/215/353/23_180.png
1442,Serhou Guirassy,ST,26,76,77,"Jun 30, 2023",VfB Stuttgart,9,44,1904,https://cdn.sofifa.net/players/215/441/23_180.png
1443,Maxwel Cornet,CF,25,76,77,2022 ~ 2027,West Ham United,9,55,2104,https://cdn.sofifa.net/players/215/798/23_180.png
1444,Pieter Gerkens,CDM,27,70,70,2020 ~ 2023,Antwerp,1.7,12,1966,https://cdn.sofifa.net/players/216/334/23_180.png
1445,Alen Halilovi?,CAM,25,69,72,2021 ~ 2022,Reading,1.8,13,1728,https://cdn.sofifa.net/players/216/349/22_180.png
1446,Daley Sinkgraven,LM,26,73,74,2019 ~ 2023,Bayer 04 Leverkusen,3.3,32,2003,https://cdn.sofifa.net/players/216/380/23_180.png
1447,Stanislav Lobotka,CDM,27,82,82,2020 ~ 2027,Napoli,32,69,2133,https://cdn.sofifa.net/players/216/435/23_180.png
1448,José María Giménez,CB,27,83,85,2013 ~ 2025,Atlético Madrid,38.5,68,1829,https://cdn.sofifa.net/players/216/460/23_180.png
1449,Carlos Akapo Martínez,LB,29,74,74,2022 ~ 2023,San Jose Earthquakes,3.7,8,1897,https://cdn.sofifa.net/players/216/605/23_180.png
1450,Mattia Aramu,RW,27,73,73,"Jun 30, 2023",Genoa,3.2,5,1899,https://cdn.sofifa.net/players/219/984/23_180.png
1451,Ante Rebi?,ST,28,79,79,2020 ~ 2025,Milan,17.5,74,2063,https://cdn.sofifa.net/players/220/018/23_180.png
1452,Enner Valencia,RW,32,78,78,2020 ~ 2023,Fenerbahçe,11.5,69,2045,https://cdn.sofifa.net/players/220/295/23_180.png
1453,Demarai Gray,ST,26,77,78,2021 ~ 2024,Everton,12.5,40,1842,https://cdn.sofifa.net/players/220/633/23_180.png
1455,Pau López Sabata,GK,27,80,83,2022 ~ 2026,Olympique de Marseille,20.5,35,1424,https://cdn.sofifa.net/players/221/087/23_180.png
1456,Jérôme Onguéné,CB,24,72,77,"Jun 30, 2023",Salzburg,3.2,15,1661,https://cdn.sofifa.net/players/221/323/23_180.png
1457,Lei Wu,RM,30,73,73,2022 ~ 2027,Shanghai Port,3,17,1934,https://cdn.sofifa.net/players/221/445/23_180.png
1458,Nico Elvedi,CB,25,77,79,2015 ~ 2024,Borussia Mönchengladbach,11.5,25,1796,https://cdn.sofifa.net/players/221/491/23_180.png
1459,Mariano Díaz Mejía,ST,28,74,74,2018 ~ 2023,Real Madrid,4.3,110,1948,https://cdn.sofifa.net/players/221/639/23_180.png
1460,Marek Rodák,GK,25,75,80,2013 ~ 2024,Fulham,6.5,34,1200,https://cdn.sofifa.net/players/222/951/23_180.png
1461,Stefan Posch,CB,25,74,77,"Jun 30, 2023",Bologna,5,25,1596,https://cdn.sofifa.net/players/223/671/23_180.png
1462,Alexander Nübel,GK,25,78,83,"Jun 30, 2023",Monaco,16.5,39,1211,https://cdn.sofifa.net/players/223/885/23_180.png
1463,Borja Iglesias Quintás,ST,29,82,82,2019 ~ 2026,Real Betis,30.5,39,1959,https://cdn.sofifa.net/players/224/179/23_180.png
1464,Jordan Larsson,ST,25,74,77,"Jun 30, 2023",København,5.5,22,1905,https://cdn.sofifa.net/players/224/389/23_180.png
1465,Maximilian Wittek,LM,26,73,74,2020 ~ 2024,Vitesse,3.3,13,2049,https://cdn.sofifa.net/players/224/423/23_180.png
1466,Adam Buksa,ST,25,73,75,2022 ~ 2023,Lens,3.9,26,1725,https://cdn.sofifa.net/players/224/438/23_180.png
1467,Ryan Kent,CF,25,76,77,2019 ~ 2023,Rangers,9,51,1928,https://cdn.sofifa.net/players/224/520/23_180.png
1468,Emmanuel Boateng,LM,26,73,76,2022 ~ 2024,Rio Ave,4,10,1920,https://cdn.sofifa.net/players/224/540/23_180.png
1469,Gaetano Castrovilli,CM,25,77,80,2017 ~ 2024,Fiorentina,14,47,1992,https://cdn.sofifa.net/players/225/014/23_180.png
1470,Alejandro Berenguer Remiro,RM,26,80,80,2020 ~ 2024,Athletic Club,23,33,2146,https://cdn.sofifa.net/players/225/201/23_180.png
1471,José Raúl Gutiérrez Parejo,CDM,25,72,75,2020 ~ 2025,Elche,3.1,14,1947,https://cdn.sofifa.net/players/225/204/23_180.png
1472,David García Zubiria,CB,28,81,82,2013 ~ 2026,Osasuna,24.5,36,1798,https://cdn.sofifa.net/players/225/341/23_180.png
1473,Rolando Mandragora,CDM,25,76,80,2022 ~ 2026,Fiorentina,10.5,44,2018,https://cdn.sofifa.net/players/225/439/23_180.png
1474,Eric Bailly,CB,28,77,78,"Jun 30, 2023",Olympique de Marseille,10,89,1791,https://cdn.sofifa.net/players/225/508/23_180.png
1475,Oliver Burke,RW,25,69,72,"Jun 30, 2023",Millwall,1.9,12,1768,https://cdn.sofifa.net/players/225/632/23_180.png
1476,Daniele Verde,CAM,26,75,76,2021 ~ 2025,Spezia,6.5,19,1882,https://cdn.sofifa.net/players/225/844/23_180.png
1477,Presnel Kimpembe,CB,26,83,86,2015 ~ 2024,Paris Saint Germain,42,95,1943,https://cdn.sofifa.net/players/225/850/23_180.png
1478,Ryan Manning,LB,26,73,74,2020 ~ 2023,Swansea City,3.3,21,1954,https://cdn.sofifa.net/players/226/012/23_180.png
1479,Sergio Akieme Rodríguez,LM,24,73,78,2021 ~ 2026,Almería,4.3,16,1791,https://cdn.sofifa.net/players/226/103/23_180.png
1480,Aritz Elustondo,RB,28,81,82,2014 ~ 2024,Real Sociedad,24.5,40,1809,https://cdn.sofifa.net/players/226/221/23_180.png
1481,Hee Chan Hwang,ST,26,76,76,2022 ~ 2026,Wolverhampton Wanderers,8,72,1942,https://cdn.sofifa.net/players/226/380/23_180.png
1482,Kieran Dowell,CM,24,72,74,2020 ~ 2023,Norwich City,3,26,1811,https://cdn.sofifa.net/players/226/401/23_180.png
1483,Sead Hakšabanovi?,LW,23,72,76,2022 ~ 2027,Celtic,3.4,33,1786,https://cdn.sofifa.net/players/226/430/23_180.png
1484,Pablo Aránguiz,LW,25,67,69,2020 ~ 2023,Ñublense,1.3,3,1718,https://cdn.sofifa.net/players/226/584/23_180.png
1485,Wilfred Ndidi,CM,25,81,82,2017 ~ 2024,Leicester City,27.5,82,2042,https://cdn.sofifa.net/players/226/790/23_180.png
1486,Lucas Tousart,CDM,25,77,80,2020 ~ 2025,Hertha BSC,12.5,27,1908,https://cdn.sofifa.net/players/227/234/23_180.png
1487,Sander Berge,CM,24,75,79,2020 ~ 2024,Sheffield United,8,24,1983,https://cdn.sofifa.net/players/228/092/23_180.png
1488,Florian Grillitsch,CM,26,77,79,2022 ~ 2023,Ajax,11.5,16,1933,https://cdn.sofifa.net/players/228/336/23_180.png
1489,Emil Audero,GK,25,79,82,2019 ~ 2026,Sampdoria,18,17,1189,https://cdn.sofifa.net/players/228/413/23_180.png
1490,Ezequiel Ávila,RM,28,80,80,2019 ~ 2026,Osasuna,21.5,40,2026,https://cdn.sofifa.net/players/228/520/23_180.png
1491,Wuilker Faríñez,GK,24,71,76,2021 ~ 2024,Lens,2.3,12,1296,https://cdn.sofifa.net/players/228/736/23_180.png
1492,Levi García,RM,24,77,80,2020 ~ 2025,AEK Athens,14.5,1,1991,https://cdn.sofifa.net/players/229/153/23_180.png
1493,Waldemar Anton,CDM,25,75,78,2020 ~ 2025,VfB Stuttgart,6.5,20,1784,https://cdn.sofifa.net/players/229/476/23_180.png
1494,Mykola Matvienko,LB,26,74,77,2015 ~ 2025,Shakhtar Donetsk,4.9,850,1836,https://cdn.sofifa.net/players/229/528/23_180.png
1495,Gianluca Mancini,CB,26,82,84,2020 ~ 2027,Roma,33.5,73,1787,https://cdn.sofifa.net/players/229/582/23_180.png
1496,Marko Pjaca,CAM,27,72,72,"Jun 30, 2023",Empoli,2.5,61,1870,https://cdn.sofifa.net/players/229/593/23_180.png
1497,Mathias Jensen,CAM,26,76,76,2019 ~ 2026,Brentford,8,44,2017,https://cdn.sofifa.net/players/229/723/23_180.png
1498,Alexander Barboza,CB,27,75,77,2021 ~ 2023,Libertad,6,900,1843,https://cdn.sofifa.net/players/229/749/23_180.png
1499,Harry Souttar,CB,23,73,77,2023 ~ 2028,Leicester City,3.9,42,1523,https://cdn.sofifa.net/players/229/901/23_180.png
1500,Mario Mandžuki?,LW,34,78,78,2021 ~ 2021,Milan,7,43,2028,https://cdn.sofifa.net/players/181/783/21_180.png
1501,Jordan Henderson,CDM,32,80,80,2011 ~ 2025,Liverpool,16.5,110,2158,https://cdn.sofifa.net/players/183/711/23_180.png
1502,Simon Terodde,ST,34,74,74,2021 ~ 2023,Schalke 04,2.1,23,1742,https://cdn.sofifa.net/players/183/714/23_180.png
1503,Givanildo Vieira de Souza,ST,33,80,80,2017 ~ 2023,Shanghai Port,13,20,2134,https://cdn.sofifa.net/players/189/362/21_180.png
1504,Luuk de Jong,ST,31,79,79,2022 ~ 2025,PSV,15,24,1902,https://cdn.sofifa.net/players/189/805/23_180.png
1505,Peter Abrahamsson,GK,33,68,68,2014 ~ 2023,Häcken,0.4,2,1153,https://cdn.sofifa.net/players/192/201/23_180.png
1506,Marc-André ter Stegen,GK,30,88,88,2014 ~ 2025,FC Barcelona,61,210,1443,https://cdn.sofifa.net/players/192/448/23_180.png
1507,Roberto Pereyra,RM,31,79,79,2020 ~ 2023,Udinese,14.5,22,2119,https://cdn.sofifa.net/players/193/061/23_180.png
1508,David De Gea Quintana,GK,31,87,87,2011 ~ 2023,Manchester United,42,150,1302,https://cdn.sofifa.net/players/193/080/23_180.png
1509,André Schürrle,LM,28,77,77,2016 ~ 2021,Spartak Moskva,9,59,1999,https://cdn.sofifa.net/players/193/130/20_180.png
1510,Davy Pröpper,CDM,30,72,72,2023 ~ 2024,Vitesse,2.2,13,1945,https://cdn.sofifa.net/players/193/158/23_180.png
1511,Nemanja Gudelj,CDM,30,79,79,2019 ~ 2023,Sevilla,14.5,29,2127,https://cdn.sofifa.net/players/193/198/23_180.png
1512,Thomas Delaney,CM,30,80,80,"Jun 30, 2023",TSG Hoffenheim,17.5,31,2169,https://cdn.sofifa.net/players/193/283/23_180.png
1513,Haris Seferovi?,ST,30,75,75,"Jun 30, 2023",Celta de Vigo,5.5,14,1945,https://cdn.sofifa.net/players/193/408/23_180.png
1514,Hugo Mallo Novegil,RB,31,77,77,2009 ~ 2023,Celta de Vigo,7.5,22,1813,https://cdn.sofifa.net/players/194/229/23_180.png
1515,Joel Matip,CB,30,81,81,2016 ~ 2024,Liverpool,21,105,1868,https://cdn.sofifa.net/players/197/061/23_180.png
1516,Sebastián Coates,CB,31,82,82,2017 ~ 2024,Sporting CP,21,19,1803,https://cdn.sofifa.net/players/197/655/23_180.png
1517,Jonathan Viera Ramos,LM,32,80,80,2021 ~ 2026,Las Palmas,16.5,14,2118,https://cdn.sofifa.net/players/198/164/23_180.png
1518,Ross Barkley,CM,28,74,74,2022 ~ 2023,Nice,4.2,35,1949,https://cdn.sofifa.net/players/199/189/23_180.png
1519,Ibai Gómez Pérez,RW,30,78,78,2019 ~ 2022,Athletic Club,13.5,26,2067,https://cdn.sofifa.net/players/199/416/21_180.png
1520,John Guidetti,ST,30,71,71,2022 ~ 2025,AIK,1.8,7,1793,https://cdn.sofifa.net/players/199/602/23_180.png
1521,Nico Schulz,LM,29,73,73,2019 ~ 2024,Borussia Dortmund,2.7,30,1877,https://cdn.sofifa.net/players/200/536/23_180.png
1522,Kevin Volland,CF,29,80,80,2020 ~ 2024,Monaco,21,66,2102,https://cdn.sofifa.net/players/200/610/23_180.png
1523,Kieron Freeman,CB,30,62,62,2021 ~ 2023,Portsmouth,0.35,2,1684,https://cdn.sofifa.net/players/200/807/23_180.png
1524,Cédric Ricardo Alves Soares,RB,30,74,74,"Jun 30, 2023",Fulham,3.6,53,1985,https://cdn.sofifa.net/players/201/118/23_180.png
1526,Will Keane,LW,29,71,71,2020 ~ 2023,Wigan Athletic,1.9,9,1840,https://cdn.sofifa.net/players/201/911/23_180.png
1527,Loris Karius,GK,29,72,72,2022 ~ 2023,Newcastle United,1.6,40,1233,https://cdn.sofifa.net/players/203/775/23_180.png
1528,Tomáš Vaclík,GK,33,76,76,2023 ~ 2023,Huddersfield Town,2.4,16,1282,https://cdn.sofifa.net/players/204/120/23_180.png
1529,Ibou Touray,LWB,27,65,65,2019 ~ 2023,Salford City,0.7,5,1775,https://cdn.sofifa.net/players/204/979/23_180.png
1530,Juan Bernat Velasco,LWB,29,78,78,2018 ~ 2025,Paris Saint Germain,12.5,68,2054,https://cdn.sofifa.net/players/205/069/23_180.png
1531,Arkadiusz Milik,ST,28,81,81,"Jun 30, 2023",Juventus,26.5,56,1998,https://cdn.sofifa.net/players/205/175/23_180.png
1532,Paulo Gazzaniga,GK,30,77,77,"Jun 30, 2023",Girona,7,40,1427,https://cdn.sofifa.net/players/205/186/23_180.png
1533,Jean-Daniel Akpa Akpro,CM,29,75,75,"Jun 30, 2023",Empoli,5.5,42,2063,https://cdn.sofifa.net/players/205/343/23_180.png
1534,Yvon Mvogo,GK,28,77,79,2022 ~ 2024,Lorient,9,16,1287,https://cdn.sofifa.net/players/206/003/23_180.png
1535,Luciano Vietto,LW,28,74,74,2020 ~ 2023,Al Hilal,4.3,36,1949,https://cdn.sofifa.net/players/207/441/23_180.png
1536,Kaan Ayhan,CB,27,72,72,"May 31, 2023",Galatasaray,2.2,20,1906,https://cdn.sofifa.net/players/207/790/23_180.png
1537,Ryan Fraser,LW,28,74,74,2020 ~ 2025,Newcastle United,4.2,70,1935,https://cdn.sofifa.net/players/207/807/23_180.png
1538,Anthony Jung,CB,30,73,73,2021 ~ 2024,Werder Bremen,2.6,18,1934,https://cdn.sofifa.net/players/207/897/23_180.png
1539,Bertrand Traoré,RW,26,76,76,2020 ~ 2024,Aston Villa,8,66,1952,https://cdn.sofifa.net/players/207/948/23_180.png
1540,Adnan Januzaj,LW,27,78,78,"Jun 30, 2023",?stanbul Ba?ak?ehir,15,31,1879,https://cdn.sofifa.net/players/208/330/23_180.png
1541,Saúl Ñíguez Esclápez,LWB,27,80,80,2013 ~ 2026,Atlético Madrid,22.5,58,2150,https://cdn.sofifa.net/players/208/421/23_180.png
1542,Óliver Torres Muñoz,LW,27,78,78,2019 ~ 2024,Sevilla,15,29,1980,https://cdn.sofifa.net/players/208/777/23_180.png
1543,Ryan Gauld,CAM,26,76,76,2021 ~ 2024,Vancouver Whitecaps,8.5,10,2014,https://cdn.sofifa.net/players/208/919/23_180.png
1544,Raúl De Tomás Gómez,ST,27,80,80,2022 ~ 2027,Rayo Vallecano,23,29,2048,https://cdn.sofifa.net/players/210/315/23_180.png
1545,Francisco Sol Ortiz,ST,30,66,66,"Jun 30, 2023",Málaga,0.85,500,1712,https://cdn.sofifa.net/players/210/441/23_180.png
1546,Salem Al Dawsari,RW,30,77,77,2011 ~ 2025,Al Hilal,10,42,2026,https://cdn.sofifa.net/players/210/602/23_180.png
1547,Rubén García Santos,RM,28,79,79,2018 ~ 2024,Osasuna,17.5,35,1982,https://cdn.sofifa.net/players/211/022/23_180.png
1548,Armindo Tué Na Bangna,RW,27,75,75,"Jun 30, 2023",Sporting Braga,6,53,1896,https://cdn.sofifa.net/players/211/368/23_180.png
1549,Moussa Dembélé,ST,25,77,79,2018 ~ 2023,Olympique Lyonnais,13.5,59,1855,https://cdn.sofifa.net/players/211/591/23_180.png
1550,Mark Flekken,GK,29,81,81,2018 ~ 2026,SC Freiburg,17.5,30,1229,https://cdn.sofifa.net/players/211/738/23_180.png
1551,Neal Maupay,ST,25,74,76,2022 ~ 2025,Everton,5.5,34,1907,https://cdn.sofifa.net/players/211/784/23_180.png
1552,Przemys?aw Frankowski,LWB,27,77,77,2021 ~ 2026,Lens,10,30,2100,https://cdn.sofifa.net/players/212/138/23_180.png
1553,Thomas Strakosha,GK,27,76,78,2022 ~ 2026,Brentford,7,33,1191,https://cdn.sofifa.net/players/212/151/23_180.png
1554,Philipp Max,LM,28,78,78,"Jun 30, 2023",Eintracht Frankfurt,12.5,19,2073,https://cdn.sofifa.net/players/212/187/23_180.png
1555,Alex Nicolao Telles,LM,29,80,80,"Jun 30, 2023",Sevilla,18.5,110,2213,https://cdn.sofifa.net/players/212/462/23_180.png
1556,Leander Dendoncker,CDM,27,75,75,2022 ~ 2025,Aston Villa,6,63,2050,https://cdn.sofifa.net/players/212/501/23_180.png
1557,Divock Origi,LW,27,76,76,2022 ~ 2026,Milan,8,56,1849,https://cdn.sofifa.net/players/213/135/23_180.png
1558,Nabil Bentaleb,CM,27,74,75,2022 ~ 2025,Angers SCO,4.3,19,2050,https://cdn.sofifa.net/players/213/296/23_180.png
1559,Éder Balanta,CM,29,73,73,"Jun 30, 2023",Schalke 04,2.6,19,1803,https://cdn.sofifa.net/players/213/899/23_180.png
1560,Joaquín Sánchez Rodríguez,CAM,40,78,78,2015 ~ 2023,Real Betis,0,18,1921,https://cdn.sofifa.net/players/045/186/23_180.png
1561,Burak Y?lmaz,ST,36,76,76,2022 ~ 2024,Fortuna Sittard,2.6,13,1911,https://cdn.sofifa.net/players/124/375/23_180.png
1562,Andrey Arshavin,RW,34,75,75,2015 ~ 2016,Kuban' Krasnodar,2.1,25,1842,https://cdn.sofifa.net/players/147/777/16_180.png
1563,Joe Hart,GK,35,74,74,2021 ~ 2024,Celtic,0.475,21,1278,https://cdn.sofifa.net/players/150/724/23_180.png
1564,Ashley Young,LM,36,76,76,2021 ~ 2023,Aston Villa,1.7,43,2110,https://cdn.sofifa.net/players/152/908/23_180.png
1565,Franck Ribéry,CAM,39,76,76,2021 ~ 2023,Salernitana,2.6,21,1831,https://cdn.sofifa.net/players/156/616/23_180.png
1566,Samir Handanovi?,GK,37,82,82,2012 ~ 2023,Inter,3.4,39,1254,https://cdn.sofifa.net/players/162/835/23_180.png
1567,Tom Heaton,GK,36,72,72,2021 ~ 2023,Manchester United,0.25,30,1240,https://cdn.sofifa.net/players/163/264/23_180.png
1568,Theo Walcott,RM,33,71,71,2021 ~ 2023,Southampton,1.2,31,1807,https://cdn.sofifa.net/players/164/859/23_180.png
1569,Carlos Vela,ST,33,81,81,2018 ~ 2023,Los Angeles FC,16,14,1962,https://cdn.sofifa.net/players/169/416/23_180.png
1570,Héctor Moreno,CB,34,77,77,Free,Mexico,0,0,1814,https://cdn.sofifa.net/players/173/432/23_180.png
1571,Gareth Bale,RM,32,81,81,2022 ~ 2023,Los Angeles FC,20.5,14,2157,https://cdn.sofifa.net/players/173/731/23_180.png
1572,Marouane Fellaini,ST,34,75,75,2019 ~ 2023,Shandong Taishan,2.6,21,2002,https://cdn.sofifa.net/players/176/944/23_180.png
1573,Axel Witsel,CB,33,79,79,2022 ~ 2023,Atlético Madrid,8.5,51,2010,https://cdn.sofifa.net/players/177/413/23_180.png
1574,Diego da Silva Costa,ST,33,75,75,2022 ~ 2023,Wolverhampton Wanderers,3.6,69,1867,https://cdn.sofifa.net/players/179/844/23_180.png
1575,Miralem Pjani?,CDM,32,81,81,2020 ~ 2024,FC Barcelona,20,145,2137,https://cdn.sofifa.net/players/180/206/23_180.png
1576,Eiji Kawashima,GK,39,71,71,2018 ~ 2023,Strasbourg,0.21,7,1168,https://cdn.sofifa.net/players/180/739/23_180.png
1577,Kevin Kelsy,ST,17,57,77,2023 ~ 2027,Shakhtar Donetsk,0.45,500,1387,https://cdn.sofifa.net/players/268/300/23_180.png
1578,Charlie McNeill,ST,18,61,80,2021 ~ 2024,Newport County,0.825,1,1545,https://cdn.sofifa.net/players/268/435/23_180.png
1579,Joshua Feeney,CB,17,57,80,2021 ~ 2025,Aston Villa,0.5,500,1314,https://cdn.sofifa.net/players/268/550/23_180.png
1580,Jeanuël Belocian,CB,17,65,81,2021 ~ 2024,Rennes,1.7,500,1652,https://cdn.sofifa.net/players/268/622/23_180.png
1581,Agustín Giay,CM,18,67,81,2020 ~ 2025,San Lorenzo,2.3,1,1771,https://cdn.sofifa.net/players/268/657/23_180.png
1582,Bruno Amione,CB,20,68,81,"Jun 30, 2023",Sampdoria,2.7,7,1555,https://cdn.sofifa.net/players/268/679/23_180.png
1583,Homam Ahmed,LWB,22,68,75,Free,Qatar,0,0,1715,https://cdn.sofifa.net/players/268/776/23_180.png
